,Artist,Title,Album,Year,Date,Lyric
0,Adele,Hello,,2015,"October 23, 2015","Türkçe
kriolu kabuverdianu
Bahasa Indonesia
العربية
Ελληνικά
Almost five years after her groundbreaking 21, Adele examines the past and tries to right her wrongs on “Hello.” On the surface, the song appears to be about a break-up from long ago, but the song can also be…
Hello, it's me
I was wondering if after all these years, you'd like to meet
To go over everything
They say that time's supposed to heal ya
But I ain't done much healin'
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town
Where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Anymore
Hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore"
1,Adele,Rolling in the Deep,,2010,"November 29, 2010","Ελληνικά
فارسی
Türkçe
فارسی
العربية
The 2012 song and record of the Year at the Grammy’s, “Rolling In The Deep” was described in an interview with Spin Magazine as a ‘gospel disco’ kiss-off to an unfaithful dude:
It’s me saying, ‘Get the fuck…
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your shit bare
See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the dark
The scars of your love remind me of us
They keep me thinkin' that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling
We could've had it all
(You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
Baby, I have no story to be told
But I've heard one on you, now I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there, as mine sure won't be shared
(You're gonna wish you never had met me)
The scars of your love remind me of us
(Tears are gonna fall, rolling in the deep)
They keep me
thinkin' that we almost had it all
(You're gonna wish you never had met me)
The scars of your love, they leave me breathless
(Tears are gonna fall, rolling in the deep)
I can't help feeling
We could've had it all
(You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
Could've had it all
Rolling in the deep
You had my heart inside of your hand
But you played it with a beating
Throw your soul through every open door (Ooh woah, oh)
Count your blessings to find what you look for (Woah)
Turn my sorrow into treasured gold (Ooh woah, oh)
You'll pay me back in kind and reap just what you've sown
(You're gonna wish you never had met me)
We could've had it all (Tears are gonna fall, rolling in the deep)
We could've had it all, yeah
(You're gonna wish you never had met me)
It all, it all, it all (Tears are gonna fall, rolling in the deep)
We could've had it all
(You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
Could've had it all
(You're gonna wish you never had met me)
Rolling in the deep (Tears are gonna fall, rolling in the deep)
You had my heart inside of your hand
(You're gonna wish you never had met me)
But you played it, you played it, you played it
You played it to the beat"
2,Adele,Easy On Me,,2021,"October 15, 2021","Türkçe
ไทย (Thai)
Svenska
srpski
Magyar
Ελληνικά
فارسی
Filipino
Tiếng Việt
“Easy On Me” marked Adele’s return after a six-year hiatus. The song is the lead single off her fourth studio album 30. In an October 2021 BBC Radio 1 interview, Adele revealed that it was the first song…
There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in
Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me
There ain't no room for things to change
When we are both so deeply stuck in our ways
You can't deny how hard I've tried
I changed who I was to put you both first
But now I give up
Go easy on mе, baby
I was still a child
Didn't get the chance to
Feel thе world around me
Had no time to choose what I chose to do
So go easy on me
I had good intentions
And the highest hopes
But I know right now
It probably doesn't even show
Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me"
3,Adele,Set Fire to the Rain,,2011,"January 24, 2011","Bahasa Melayu
العربية
Türkçe
“Set Fire To The Rain” talks about a relationship coming to an end. Girl meets guy, he is wonderful and she falls really quickly. He tells her all of these amazing things, but really they were all a lie and…
I let it fall, my heart
And as it fell, you rose to claim it
It was dark, and I was over
Until you kissed my lips and you saved me
My hands, they were strong
But my knees were far too weak
To stand in your arms
Without falling to your feet
But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win
But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name
When I lay with you
I could stay there, close my eyes
Feel you here forever
You and me together, nothing is better
'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win
But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name
I set fire to the rain
And I threw us into the flames
When we fell, somethin' died
'Cause I knew that that was the last time
The last time
Sometimes, I wake up by the door
That heart you caught must be waitin' for you
Even now, when we're already over
I can't help myself from lookin' for you
I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screamin' out your name
Your name
I set fire to the rain
And I threw us into the flames
When we fell, somethin' died
'Cause I knew that that was the last time
The last time
Oh, no
Let it burn
Let it burn
Let it burn"
4,Adele,Someone Like You,,2011,"January 24, 2011","Ελληνικά
فارسی
العربية
Українська
Türkçe
“Someone Like You” is the second single off of Adele’s sophomore album, 21. The track was inspired by the broken relationship that inspired most of 21. As the closing track of the album, lyrically, it speaks…
I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over
Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead
You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days
I hate to turn up out of the blue, uninvited
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over
Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?
Never mind, I'll find someone like you
I wish nothing but the best for you
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead
Sometimes it lasts in love, but sometimes it hurts instead"
5,Adele,When We Were Young,,2015,"November 20, 2015","فارسی
العربية
Newly-returned pop icon Adele worked with songwriter Tobias Jesso Jr. and producer Ariel Rechtshaid on the “‘70s styled shimmery disco ballad” “When We Were Young,” the second single from her album 25. She…
Everybody loves the things you do
From the way you talk to the way you move
Everybody here is watching you
'Cause you feel like home,
you're like a dream come true
But, if by chance, you're here alone
Can I have a moment before I go?
'Cause I've been by myself all night long
Hoping you're someone I used to know
You look like a movie, you sound like a song
My God, this reminds me of when we were young
Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
It was just like a movie, it was just like a song
I was so scared to face my fears
Nobody told me that you'd be here
And I swear you'd moved overseas
That's what you said when you left me
You still look like a movie, you still sound like a song
My God, this reminds me of when we were young
Let me photograph you in this light in case it is the last time
That we might be exactly like we were before we realised
We were sad of getting old, it made us restless
It was just like a movie, it was just like a song
(When we were young)
(When we were young)
(When we were young)
(When we were young)
It's hard to admit that (When we were young)
Everything just takes me back (When we were young)
To when you were there (When we were young)
To when you were there
And a part of me keeps holding on (When we were young)
Just in case it hasn't gone (When we were young)
I guess I still care (When we were young)
Do you still care?
It was just like a movie, it was just like a song
My God, this reminds me of when we were young
(When we were young)
(When we were young)
(When we were young)
(When we were young)
Let me photograph you in this light in case it is the last time
(When we were young, when we were young)
That we might be exactly like we were before we realised
(When we were young, when we were young)
We were sad of getting old, it made us restless
(When we were young, when we were young)
Oh, I'm so mad I'm getting old, it makes me reckless
(When we were young, when we were young)
It was just like a movie, it was just like a song
When we were young"
6,Adele,All I Ask,,2015,"November 20, 2015","“All I Ask” is a song by British singer-songwriter Adele, written about a potentially final escapade in a failing relationship. It was written in collaboration with Bruno Mars, Brody Brown and Philip Lawrence…
I will leave my heart at the door
I won't say a word
They've all been said before, you know
So why don't we just play pretend
Like we're not scared of what is coming next
Or scared of having nothing left?
Look, don't get me wrong
I know there is no tomorrow
All I ask is
If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do
What lovers do
It matters how this ends
'Cause what if I never love again?
I don't need your honesty
It's already in your eyes
And I'm sure my eyes, they speak for me
No one knows me like you do
And since you're the only one that mattered
Tell me, who do I run to?
Look, don't get me wrong
I know there is no tomorrow
All I ask is
If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do
What lovers do
It matters how this ends
'Cause what if I never love again?
Let this be our lesson in love
Let this be the way we remember us
I don't want to be cruel or vicious
And I ain't asking for forgiveness
All I ask is
If this is my last night with you
Hold me like I'm more than just a friend
Give me a memory I can use
Take me by the hand while we do
What lovers do
It matters how this ends
'Cause what if I never love again?"
7,Adele,Skyfall,,2012,"October 5, 2012","العربية
Türkçe
“Skyfall” is the theme song for the twenty-third James Bond film of the same name.
In 2013, “Skyfall” won “Best Original Song” at the 70th Golden Globes and then Best Original Song at the 85th Academy…
This is the end
Hold your breath and count to ten
Feel the Earth move, and then
Hear my heart burst again
For this is the end
I've drowned and dreamt this moment
So overdue, I owe them
Swept away, I'm stolen
Let the sky fall
When it crumbles
We will stand tall
Face it all together
Let the sky fall
When it crumbles
We will stand tall
Face it all together at Skyfall
At Skyfall
Skyfall is where we start
A thousand miles and poles apart
Where worlds collide and days are dark
You may have my number, you can take my name
But you'll never have my heart
Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together
Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together at Skyfall
Let the sky fall
When it crumbles
We will stand tall
Let the sky fall
When it crumbles
We will stand tall
Where you go I go
What you see I see
I know I'd never be me without the security
Of your loving arms keeping me from harm
Put your hand in my hand and we'll stand
Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together
Let the sky fall (Let the sky fall)
When it crumbles (When it crumbles)
We will stand tall (We will stand tall)
Face it all together at Skyfall
Let the sky fall
We will stand tall
At Skyfall
Ooh"
8,Adele,Send My Love (To Your New Lover),,2015,"November 20, 2015","Türkçe
Adele wrote “Send My Love (To Your New Lover)” in collaboration with Max Martin and Shellback for her third album 25.
Adele played guitar on the record, and it was this riff that began the song. She told the…
Just the guitar, okay, cool
This was all you, none of it me
You put your hands on, on my body and told me, mmm
You told me you were ready
For the big one, for the big jump
I'd be your last love, everlasting, you and me, mmm
That was what you told me
I'm giving you up
I've forgiven it all
You set me free
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
I was too strong, you were trembling
You couldn't handle the hot heat rising (Rising), mmm
Baby, I'm still rising
I was running, you were walking
You couldn't keep up, you were falling down (Down), mmm
There's only one way down
I'm giving you up
I've forgiven it all
You set me free, oh
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
If you're ready, if you're ready
If you're ready, I am ready
If you're ready, if you're ready
We both know we ain't kids no more
No, we ain't kids no more
I'm giving you up
I've forgiven it all
You set me free
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
If you're ready, if you're ready
(Send my love to your new lover)
If you're ready, are you ready?
(Treat her better)
We've gotta let go of all of our ghosts
We both know we ain't kids no more
If you're ready, if you're ready
(Send my love to your new lover)
If you're ready, are you ready?
(Treat her better)
We've gotta let go of all of our ghosts
We both know we ain't kids no more"
9,Adele,To Be Loved,,2021,"November 19, 2021","Türkçe
فارسی
srpski
“To Be Loved” is the penultimate track on British singer Adele’s new album, 30. Instrumentally, the song is a simple, slow piano ballad with a BPM of 103.
Lyrically, the ballad piano track describes how the…
I built a house for a love to grow
I was so young that it was hard to know
I'm as lost now as I was back then
Always make a mess of everything
It's about time that I face myself
All I do is bleed into someone else
Painting walls with all my secret tears
Filling rooms with all my hopes and fears
But, oh my
Oh my
I'll never learn if I never leap
I'll always yearn if I never speak
To be loved and love at the highest count
Means to lose all the things I can't live without
Let it be known that I will choose to lose
It's a sacrifice, but I can't live a lie
Let it be known, let it be known that I tried
I'm so afraid, but I'm open wide
I'll be the one to catch myself this time
Tryna learn to lean into it all
Ain't it funny how the mighty fall?
Looking back, I don't regret a thing
Yeah, I took some bad turns that I am owning
I'll stand still and let the storm pass by
Keep my heart safe till the time feels right
But, oh my
Oh my
I'll never learn if I never leap
I'll always yearn if I never speak
To be loved and love at the highest count
Means to lose all the things I can't live without
Let it be known that I will choose to lose
It's a sacrifice, but I can't live a lie
Let it be known
Let it be known that I cried for you
Even started lying to you
What a thing to do
All because I wanted
To be loved and love at the highest count
Means to lose all the things I can't live without
Let it be known, known, known
That I will choose, I will lose
It's a sacrifice, but I can't live a lie
Let it be known
Let it be known that I tried, that I tried
Let it be known that I tried"
