,Artist,Title,Album,Year,Date,Lyric
0,Alan Walker,Faded,,2015,"December 3, 2015","Dansk
Ελληνικά
Cymraeg
Українська
Originally an instrumental from August 2014 titled “Fade,” Alan released this updated version in December 2015 under the slightly-altered name “Faded,” with ISELIN providing vocals.
“I’m still just an…
You were the shadow to my light
Did you feel us?
Another star, you fade away
Afraid our aim is out of sight
Wanna see us alight
Where are you now?
Where are you now?
Where are you now?
Was it all in my fantasy?
Where are you now?
Were you only imaginary?
Where are you now?
Atlantis, under the sea, under the sea
Where are you now? Another dream
The monster's running wild inside of me
I'm faded, I'm faded
So lost, I'm faded, I'm faded
So lost, I'm faded
These shallow waters never met what I needed
I'm letting go, a deeper dive
Eternal silence of the sea
I'm breathing, alive
Where are you now?
Where are you now?
Under the bright but faded lights
You set my heart on fire
Where are you now?
Where are you now?
Where are you now?
Atlantis, under the sea, under the sea
Where are you now? Another dream
The monster's running wild inside of me
I'm faded, I'm faded
So lost, I'm faded, I'm faded
So lost, I'm faded"
1,Alan Walker,Darkside,,2018,"July 27, 2018","فارسی
“Darkside” is the second chapter of the World of Walker trilogy. The single, by Norwegian DJ, Alan Walker the sequel to ‘All Falls Down"" and features Au/Ra and Tomine Harket.
The lyrics are about a…
(D-D-Dark side)
We're not in love
We share no stories
Just somethin' in your eyes
Don't be afraid
The shadows know me
Let's leave the world behind
Take me through the night
Fall into the dark side
We don't need the light
We'll live on the dark side
I see it, let's feel it
While we're still young and fearless
Let go of the light
Fall into the dark side
Fall into the dark side
Give in to the dark side
Let go of the light
Fall into the dark side
Beneath the sky
As black as diamonds
We're runnin' out of time (Time, time)
Don't wait for truth
To come and blind us
Let's just believe their lies
Believe it, I see it
I know that you can feel it
No secrets worth keepin'
So fool me like I'm dreamin'
Take me through the night
Fall into the dark side
We don't need the light
We'll live on the dark side
I see it, let's feel it
While we're still young and fearless
Let go of the light
Fall into the dark side
Fall into the dark side
Give in to the dark side
Let go of the light
Fall into the dark side
(D-D-Dark side)
(Dark side)
(Dark side)
(Dark side)
Take me through the night
Fall into the dark side
We don't need the light
We'll live on the dark side
I see it, let's feel it
While we're still young and fearless
Let go of the light
Fall into the dark side"
2,Alan Walker,On My Way,,2019,"March 21, 2019","فارسی
English
“On My Way” was created by DJ Alan Walker to celebrate the first year anniversary of “PUBG Mobile”, teaming up with Sabrina Carpenter and Latin artist Farruko. On March 21, players were able to hear the song…
I'm sorry but, don't wanna talk
I need a moment before I go, it's nothing personal
I draw the blinds, they don't need to see me cry
'Cause even if they understand, they don't understand
So then, when I'm finished
I'm all 'bout my business and ready to save the world
I'm taking my misery, make it my bitch
Can't be everyone's favorite girl
So take aim and fire away
I've never been so wide awake
No, nobody but me can keep me safe
And I'm on my way
The blood moon is on the rise
The fire burning in my eyes
No, nobody but me can keep me safe
And I'm on my way
Blep, yah, yah
Farru
Yah-yah-yah-yah
Lo siento mucho (Farru), pero me voy (Eh)
Porque a tu lado me di cuenta que nada soy (Eh-ey)
Y me cansé de luchar y de guerrear en vano
De estar en la línea de fuego y de meter la mano
Acepto mis errores, también soy humano
Y tú no ves que lo hago porque te amo (Pu-pu-pu-pum)
Pero ya (Ya), no tengo más na' que hacer aquí (Aquí)
Me voy, llegó la hora 'e partir (Partir)
De mi propio camino, seguiré lejos de ti
So take aim and fire away
I've never been so wide awake
No, nobody but me can keep me safe
And I'm on my way
The blood moon is on the rise (Is on the rise, na-na)
The fire burning in my eyes (The fire burning in my eyes, no)
No, nobody but me can keep me safe
And I'm on my way
Blep
I'm on my way
Everybody, everybody keep me safe
Everybody, everybody keep me safe
Everybody, everybody keep me safe
Everybody, everybody keep me safe
Everybody, everybody on my way
So take aim and fire away
I've never been so wide awake
No, nobody but me can keep me safe
And I'm on my way
The blood moon is on the rise
The fire burning in my eyes
No, nobody but me can keep me safe
And I'm on my way"
3,Alan Walker,Diamond Heart,,2018,"September 28, 2018","فارسی
“Diamond Heart” is the third and final chapter of the World of Walker trilogy, with “All Falls Down” being the first chapter and “Darkside” being the second. The single is by Norwegian DJ and music producer…
Hello, sweet grief
I know you'll be the death of me
Feel like the mornin' after ecstasy
I am drownin' in an endless sea
Hello, old friend
Here's the misery that knows no end
So I'm doin' everything I can
To make sure I never love again
I wish that I did not know
Where all broken lovers go
I wish that my heart was made of stone
Yeah, if I was bulletproof (Yeah)
I'd love you black and blue (Blue)
If I was solid like a jewel
If I had a diamond heart, oh-oh
I'd give you all my love
If I was unbreakable
If I had a diamond heart, oh-oh
You could shoot me with a gun of gold
If I was unbreakable
I'd walk straight through the bullet, bendin' like a tulip
Blue-eyed and foolish
, never mind the bruises
Into the fire, breakin' through the wires
Give you all I've got (If I had a diamond heart)
I'd walk straight through the dagger, never break the pattern
Diamonds don't shatter, beautiful and battered
Into the poison, cry you an ocean
Give you all I've got
Goodbye, so long
I don't know if this is right or wrong
Am I givin' up where I belong?
'Cause every station's playin' our song
Goodbye, my love
You are everything my dreams made up
You'll be Prince and I'm the cryin' dove
If I only were unbreakable (Hey)
I wish that I did not know (Ooh)
Where all broken lovers go (Ooh)
I wish that my heart was made of stone
(I wish that my heart was made of stone)
Yeah, if I was bulletproof
I'd love you black and blue
If I was solid like a jewel
If I had a diamond heart, oh-oh
I'd give you all my love
If I was unbreakable
If I had a diamond heart, oh-oh
You could shoot me with a gun of gold
If I was unbreakable
I'd walk straight through the bullet, bendin' like a tulip
Blue-eyed and foolish, never mind the bruises
Into the fire, breakin' through the wires
Give you all I've got (If I had a diamond heart)
I'd walk straight through the dagger, never break the pattern
Diamonds don't shatter, beautiful and battered
Into the poison, cry you an ocean
Give you all I've got
La-la-la-la-la, la-la-la-la-la-la
La-la-la-la-la-la, la-la-la-la-la
La-la-la-la-la, la-la-la-la-la-la
I'd give you all my love (I'd give you)
If I was unbreakable
La-la-la-la-la, la-la-la-la-la-la
You could shoot me with a gun of gold (You could shoot me)
If I was unbreakable
I'd walk straight through the bullet
Bendin' like a tulip, blue-eyed and foolish
Never mind the bruises
Into the fire, breakin' through the wires
Give you all I got (If I had a diamond heart)
I'd walk straight through the dagger, never break the pattern
Diamonds don't shatter, beautiful and battered
Into the poison, cry you an ocean
Give you all I've got"
4,Alan Walker,"Alone, Pt. II",,2019,"December 27, 2019","“Alone, Pt. II” has Alan Walker teaming up with Ava Max for a follow-up version of Alan’s previous hit “Alone.”
We were young, posters on the wall
Praying we're the ones that the teacher wouldn't call
We would stare at each other
'Cause we were always in trouble
And all the cool kids did their own thing
I was on the outside always looking in
Yeah, I was there but I wasn't
They never really cared if I wasn't
We all need that someone who gets you like no one else
Right when you need it the most
We all need a soul to rely on, a shoulder to cry on
A friend through the highs and the lows
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone
Then I saw your face, your forgiving eyes
Looking back at me from the other side
Like you understood me
And I'm never letting you go, oh
We all need that someone who gets you like no one else
Right when you need it the most
We all need a soul to rely on, a shoulder to cry on
A friend through the highs and the lows
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone
I'm not gonna make it alone (La, la-la-la-la-la, 'lone)
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone
'Cause you are that someone that gets me like no one else
Right when I need it the most
And I'll be the one you rely on, a shoulder to cry on
A friend through the highs and the lows
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone ('Lone)
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone (No, woah)
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone (It alone, 'lone, 'lone)
I'm not gonna make it a-la, la-la-la-la-la, la, la-la-la-la-la, 'lone (No, no, no, no)
I'm not gonna make it alone"
5,Alan Walker,All Falls Down,,2017,"October 27, 2017","“All Falls Down” is a single from Norwegian record producer and DJ Alan Walker, featuring American singer Noah Cyrus and British DJ Digital Farm Animals. It was first teased on social media with various of…
What's the trick? I wish I knew
I'm so done with thinking through
All the things I could've been
And I know you wonder too
All it takes is that one look you do
And I run right back to you
You crossed the line and it's time to say ""F you""
What's the point in saying that
When you know how I'll react?
You think you can just take it back
But shit just don't work like that
You're the drug that I'm addicted to and I want you so bad
Guess I'm stuck with you, and that's that
'Cause when it all falls down, then whatever
When it don't work out for the better
If it just ain't right, and it's time to say goodbye
When it all falls down, when it all falls down
I'll be fine
I'll be fine
You're the drug that I'm addicted to and I want you so bad
But I'll be fine
[Verse 2: Juliander &
Noah Cyrus
Why we fight? I don't know
We say what hurts the most
Oh, I try
staying cold, but you take it personal
All these firing shots and making ground
It's way too hard to cope
, but I still
can't let you go
'Cause when it all falls down, then whatever
When it don't work out for the better
If it just ain't right, and it's time to say goodbye
When it all falls down, when it all falls down
I'll be fine
I'll be fine
You're the drug that I'm addicted to and I want you so bad
But I'll be fine
I'll be fine-ine-fine, fine-ine-ine (All falls down, falling down)
I'll be fine-ine-fine, fine-ine-ine (All falls down)
I'll be fine-ine-fine, fine-ine-ine (All falls down, falling down)
I'll be fine-ine-fine, fine (All falls down)
[Chorus: Noah Cyrus & Juliander,
Noah Cyrus
Juliander
'Cause when it all falls down, then whatever (
Then whatever, babe
When it don't work out for the better (
For the better
If it just ain't right, and it's time to say goodbye
When it all falls down (
When it all, when it all
When it all falls down (
When it all falls down
I'll be fine (
Fine, fine, fine
I'll be fine (
I'll be fine
You're the drug that I'm addicted to and I want you so bad
But I'll be fine (
I'll be fine
), and that's that"
6,Alan Walker,Alone,,2016,"December 2, 2016","A single by Alan Walker featuring vocals by Noonie Bao.
Lost in your mind
I wanna know
Am I losing my mind?
Never let me go
If this night is not forever
At least we are together
I know I'm not alone
I know I'm not alone
Anywhere, whenever
Apart, but still together
I know I'm not alone
I know I'm not alone
I know I'm not alone
I know I'm not alone
Unconscious mind
I'm wide awake
Wanna feel one last time
Take my pain away
If this night is not forever
At least we are together
I know I'm not alone
I know I'm not alone
Anywhere, whenever
Apart, but still together
I know I'm not alone
I know I'm not alone
I know I'm not alone
I know I'm not alone
I'm not alone, I'm not alone, I'm not alone
I know I'm not alone
I'm not alone, I'm not alone, I'm not alone
I know I'm not alone"
7,Alan Walker,Tired,,2017,"May 19, 2017","I see those tears in your eyes
I feel so helpless inside
Oh love, there's no need to hide
Just let me love you when your heart is tired
Cold hands, red eyes
Packed two bags at midnight
They've been there for weeks
You don't know what goodbye means
Just roll up a cigarette
Just forget about this mess
I'm waiting on the sidelines
From the sidelines
I see those tears in your eyes
And I feel so helpless inside
Oh love, there's no need to hide
Just let me love you when your heart is tired
If your ghost pulls you apart
And it feels like you've lost who you are
My love, there's no need to hide
Just let me love you when your heart is tired
Just let me love you when your heart is tired
When you whisper, I'm alright
But I see through your white lies
But these walls don’t talk
And if they could, they’d say
Can't hide the secrets
You can't forget about this mess
I'm waiting on the sidelines
From the sidelines
I see those tears in your eyes
And I feel so helpless inside
Oh love, there's no need to hide
Just let me love you when your heart is tired
If your ghost pulls you apart
And it feels like you've lost who you are
My love, there's no need to hide
Just let me love you when your heart is tired
Just let me love you when your heart is tired
I know those tears in your eyes
And I feel so helpless inside
My love, there's no need to hide
Just let me love you when your heart is tired"
8,Alan Walker,Sing Me to Sleep,,2016,"June 2, 2016","Dansk
Wait a second, let me catch my breath
Remind me how it feels to hear your voice
Your lips are movin', I can't hear a thing
Livin' life as if we had a choice
Anywhere, anytime
I would do anything for you
Anything for you
Yesterday got away
Melodies stuck inside your head
A song in every breath
Sing me to sleep now
Sing me to sleep
Won't you sing me to sleep now?
Sing me to sleep
Remember me now, time cannot erase
I can hear your whispers in my mind
I've become what you cannot embrace
Our memory will be my lullaby
Sing me to sleep now
Sing me to sleep
Oh, won't you sing me to sleep now?
Sing me to sleep
A-anytime
I would do do do do
Time away
Yesterday-day
A-anytime
I would do do do do
Time away
Yesterday-day-ay-ay-ay"
9,Alan Walker,The Spectre,,2017,"September 15, 2017","Dansk
“The Spectre” is a remastered vocal version of Walker’s earlier track, “Spectre”. It was revealed at Walker’s concert “Alan Walker is Heading Home” in Bergen, Norway, on December 21 and 22.
Alan Walker said…
Hello, hello, can you hear me as I scream your name?
Hello, hello, do you need me before I fade away?
Is this the place that I call home
To find what I've become?
Walk along the path unknown
We live, we love, we lie
Deep in the dark I don't need the light
There's a ghost inside me
It all belongs to the other side
We live, we love, we lie
(We live, we love, we lie)
Hello, hello, nice to meet you, voice inside my head
Hello, hello, I believe you, how can I forget?
Is this the place that I call home
To find what I've become?
Walk along the path unknown
We live, we love, we lie
Deep in the dark, I don't need the light
There's a ghost inside me
It all belongs to the other side
We live, we love, we lie (We live, we love, we lie)
We live, we love, we lie"
